153,38,1,0.23123,0,1
194,67,1,3.4701,0,1
175,74,1,0.1657,0,1
134,87,3,6.1907,0,1
238,126,1,3.7329,0,1
99,127,1,5.9186,0,1
95,163,1,5.6496,0,1
265,169,1,3.9131,0,1
118,206,3,5.4284,0,1
170,206,1,0.32073,0,1
267,219,3,4.057,0,1
119,246,1,5.2276,0,1
174,247,1,5.0838,0,1
191,254,1,4.6725,0,1
228,256,1,4.5372,0,1
254,264,1,4.4677,0,1
107,268,1,2.1619,0,1
261,271,1,4.4768,0,1
102,278,1,5.2986,0,1
121,290,3,2.2667,0,1
175,291,1,5.2953,0,1
237,297,1,4.8742,0,1
175,307,3,2.1172,0,1
119,309,3,2.4093,0,1
226,321,1,5.2985,0,1
239,344,3,2.3396,0,1
256,354,3,2.5696,0,1
198,357,1,2.3632,0,1
220,358,3,2.4103,0,1
240,363,1,2.6705,0,1
173,243,5,0,0,1
36,252,7,0,1,1
24,252,7,0,1,1
276,348,7,0,1,1
