1,0.1,1,1.9,0,1
1,0.1,1,1.9,0,2
1,0.1,1,1.9,0,3
1,0.1,1,1.9,0,4
1,0.1,1,1.9,0,5
1,0.1,1,1.9,0,6
1,0.1,1,1.9,0,7
1,0.1,1,1.9,0,8
1,0.1,1,1.9,0,9
1,0.1,1,1.9,0,10
1,0.1,1,1.9,0,11
1,0.1,1,1.9,0,12
1,0.1,1,1.9,0,13
1,0.1,1,1.9,0,14
1,0.1,1,1.9,0,15
1,0.1,1,1.9,0,16
1,0.1,1,1.9,0,17
1,0.1,1,1.9,0,18
1,0.1,1,1.9,0,19
1,0.1,1,1.9,0,20
1,0.1,1,1.9,0,21
0.99123,0.1,0.99123,1.9,0,22
0.99123,0.1,0.99123,1.9,0,23
0.92982,0.1,0.92982,1.9,0,24
0.93596,0.1,0.88596,1.9,0.05,25
0.91842,0.1,0.86842,1.9,0.05,26
0.83947,0.1,0.78947,1.9,0.05,27
0.75175,0.1,0.70175,1.9,0.05,28
0.67281,0.1,0.62281,1.9,0.05,29
0.6114,0.1,0.5614,1.9,0.05,30
0.52368,0.1,0.47368,1.9,0.05,31
0.44474,0.1,0.39474,1.9,0.05,32
0.40088,0.1,0.35088,1.9,0.05,33
0.32193,0.1,0.27193,1.9,0.05,34
0.32807,0.1,0.22807,1.9,0.1,35
0.30175,0.1,0.20175,1.9,0.1,36
0.25789,0.1,0.15789,1.9,0.1,37
0.22281,0.1,0.12281,1.9,0.1,38
0.20526,0.1,0.10526,1.9,0.1,39
0.20526,0.1,0.10526,1.9,0.1,40
0.1614,0.1,0.061404,1.9,0.1,41
0.1614,0.1,0.061404,1.9,0.1,42
0.13509,0.1,0.035088,1.9,0.1,43
0.12632,0.1,0.026316,1.9,0.1,44
0.12632,0.1,0.026316,1.9,0.1,45
0.11754,0.1,0.017544,1.9,0.1,46
0.11754,0.1,0.017544,1.9,0.1,47
0.11754,0.1,0.017544,1.9,0.1,48
0.16754,0.1,0.017544,1.9,0.15,49
0.16754,0.1,0.017544,1.9,0.15,50
0.25877,0.1,0.0087719,1.9,0.25,51
0.25,0.1,0,1.9,0.25,52
0.25,0.1,0,1.9,0.25,53
0.25,0.1,0,1.9,0.25,54
0.25,0.1,0,1.9,0.25,55
0.25,0.1,0,1.9,0.25,56
0.25,0.1,0,1.9,0.25,57
0.25,0.1,0,1.9,0.25,58
0.25,0.1,0,1.9,0.25,59
0.3,0.1,0,1.9,0.3,60
0.3,0.1,0,1.9,0.3,61
0.3,0.1,0,1.9,0.3,62
0.3,0.1,0,1.9,0.3,63
0.3,0.1,0,1.9,0.3,64
0.3,0.1,0,1.9,0.3,65
0.35,0.1,0,1.9,0.35,66
0.35,0.1,0,1.9,0.35,67
0.35,0.1,0.017544,1.9,0.35,68
0.35,0.1,0.017544,1.9,0.35,69
0.4,0.1,0.017544,1.9,0.4,70
0.4,0.1,0.026316,1.9,0.4,71
0.4,0.1,0.026316,1.9,0.4,72
0.45,0.1,0.026316,1.9,0.45,73
0.5,0.1,0.026316,1.9,0.5,74
0.5,0.1,0.026316,1.9,0.5,75
0.55,0.1,0.026316,1.9,0.55,76
0.6,0.1,0.026316,1.9,0.6,77
0.7,0.1,0.026316,1.9,0.7,78
0.75,0.1,0.04386,1.9,0.75,79
0.75,0.1,0.061404,1.9,0.75,80
0.8,0.1,0.070175,1.9,0.8,81
0.8,0.1,0.078947,1.9,0.8,82
0.8,0.1,0.087719,1.9,0.8,83
0.8,0.1,0.096491,1.9,0.8,84
0.8,0.1,0.14035,1.9,0.8,85
0.81,0.1,0.19298,1.9,0.77,86
0.81,0.1,0.26316,1.9,0.77,87
0.8575,0.1,0.40351,1.9,0.815,88
0.865,0.1,0.45614,1.9,0.78,89
0.8725,0.1,0.5,1.9,0.745,90
0.88,0.1,0.57895,1.9,0.71,91
0.8875,0.1,0.71053,1.9,0.675,92
0.8875,0.1,0.78947,1.9,0.675,93
0.91,0.1,0.84211,1.9,0.57,94
0.925,0.1,0.95614,1.9,0.5,95
0.94,0.1,0.98246,1.9,0.43,96
0.9625,0.1,1,1.9,0.325,97
0.975,0.1,1,1.9,0.3,98
0.9925,0.1,1,1.9,0.185,99
1,0.1,1,1.9,0.05,100
1,0.1,1,1.9,0,101
1,0.2,1,1.8,0,1
1,0.2,1,1.8,0,2
1,0.2,1,1.8,0,3
1,0.2,1,1.8,0,4
1,0.2,1,1.8,0,5
1,0.2,1,1.8,0,6
1,0.2,1,1.8,0,7
1,0.2,1,1.8,0,8
1,0.2,1,1.8,0,9
1,0.2,1,1.8,0,10
1,0.2,1,1.8,0,11
1,0.2,1,1.8,0,12
1,0.2,1,1.8,0,13
1,0.2,1,1.8,0,14
1,0.2,1,1.8,0,15
1,0.2,1,1.8,0,16
1,0.2,1,1.8,0,17
1,0.2,1,1.8,0,18
1,0.2,1,1.8,0,19
1,0.2,1,1.8,0,20
1,0.2,1,1.8,0,21
0.99123,0.2,0.99123,1.8,0,22
0.99123,0.2,0.99123,1.8,0,23
0.92982,0.2,0.92982,1.8,0,24
0.93596,0.2,0.88596,1.8,0.05,25
0.91842,0.2,0.86842,1.8,0.05,26
0.83947,0.2,0.78947,1.8,0.05,27
0.75175,0.2,0.70175,1.8,0.05,28
0.67281,0.2,0.62281,1.8,0.05,29
0.6114,0.2,0.5614,1.8,0.05,30
0.52368,0.2,0.47368,1.8,0.05,31
0.44474,0.2,0.39474,1.8,0.05,32
0.40088,0.2,0.35088,1.8,0.05,33
0.32193,0.2,0.27193,1.8,0.05,34
